caste1,degree,employed1,income1,mother1,occupation,religion1,account
Protestant,Ph.D. (Doctorate),Central Government,INR 1 lakh to 2 lakhs,Arunachali,Science,Christian,real
Ahom,B.A. (Arts),Others,INR 1 lakh to 2 lakhs,Assamese,Others,Hindu,real
Kalita,MBA/PGDM,MNC,INR 15 lakhs to 20 lakhs,Assamese,Banking/Insurance/Financial Services,Hindu,real
Kayastha,Engineering,Private Sector,INR 2 lakhs to 3 lakhs,Assamese,Manufacturing/Engineering/R&D,Hindu,real
Brahmin,M.Com. (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Assamese,Marketing and Communications,Hindu,real
Sia,B.A. (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Assamese,Travel/Airlines,Muslim,real
Scheduled Caste,B.A. (Arts),Private Sector,INR 50 thousand to 1 lakh,Assamese,Finance and Accounts,Hindu,real
Brahmin,10th,Private Sector,INR 50 thousand to 1 lakh,Assamese,Hotels/Restaurants,Hindu,real
Manipuri,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Assamese,Telecom/ISP,Hindu,real
Sunni,MBA/PGDM,Others,Don't wish to specify,Assamese,Others,Muslim,real
Nai,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Awadhi,Travel/Airlines,Hindu,real
Rajput,M.Ed. (Education),State Government,INR 4 lakhs to 5 lakhs,Awadhi,Government Employee,Hindu,real
Badaga,PG Diploma,Private Sector,INR 2 lakhs to 3 lakhs,Badaga,Hotels/Restaurants,Hindu,real
Sunni,B.A. (Arts),Private Sector,INR 1 lakh to 2 lakhs,Bengali,Admin/Secretarial,Muslim,real
Bengali,M.Sc. (Science),Public Sector,INR 1 lakh to 2 lakhs,Bengali,Banking/Insurance/Financial Services,Hindu,real
Brahmin,B.A. (Arts),Private Sector,INR 1 lakh to 2 lakhs,Bengali,Customer Service/Call Centre/BPO,Hindu,real
Bengali,MCA/PGDCA,Private Sector,INR 1 lakh to 2 lakhs,Bengali,Education/Training,Hindu,real
Brahmin,B.Com (Commerce),Private Sector,INR 1 lakh to 2 lakhs,Bengali,Education/Training,Hindu,real
Bengali,B.Com (Commerce),Private Sector,INR 1 lakh to 2 lakhs,Bengali,Finance and Accounts,Hindu,real
Brahmin - Bengali,B.Com (Commerce),Private Sector,INR 1 lakh to 2 lakhs,Bengali,Finance and Accounts,Hindu,real
Baidya,B.Com (Commerce),Private Sector,INR 1 lakh to 2 lakhs,Bengali,Health Care,Hindu,real
Brahmin - Kulin,Other Diploma,Private Sector,INR 1 lakh to 2 lakhs,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Kayastha,B.Com (Commerce),Private Sector,INR 1 lakh to 2 lakhs,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Kayastha,M.Sc. (Science),Central Government,INR 10 lakhs to 15 lakhs,Bengali,Banking/Insurance/Financial Services,Hindu,real
Sunni,B.Sc (Science),Private Sector,INR 10 lakhs to 15 lakhs,Bengali,Education/Training,Muslim,real
Karmakar,BE B.Tech (Engineering),Private Sector,INR 10 lakhs to 15 lakhs,Bengali,IT,Hindu,real
Brahmin - Rarhi,BE B.Tech (Engineering),Private Sector,INR 10 lakhs to 15 lakhs,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Kayastha,BE B.Tech (Engineering),Private Sector,INR 15 lakhs to 20 lakhs,Bengali,Merchant Navy,Hindu,real
Kayastha,Ph.D. (Doctorate),Others,INR 15 lakhs to 20 lakhs,Bengali,Civil Services/Law Enforcement,Hindu,real
Sadgope,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Bengali,Admin/Secretarial,Hindu,real
Brahmin,MA (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Bengali,Admin/Secretarial,Hindu,real
Sunni,BE B.Tech (Engineering),State Government,INR 2 lakhs to 3 lakhs,Bengali,Agriculture,Muslim,real
Tamboli,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Bengali,Banking/Insurance/Financial Services,Hindu,real
Tantubai,M.Sc. (Science),Others,INR 2 lakhs to 3 lakhs,Bengali,Business Owner/Entrepreneur,Hindu,real
Sunni,MA (Arts),State Government,INR 2 lakhs to 3 lakhs,Bengali,Education/Training,Muslim,real
Brahmin - Bengali,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Bengali,Finance and Accounts,Hindu,real
Baishya,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Bengali,Finance and Accounts,Hindu,real
Kayastha,PG Diploma,Central Government,INR 2 lakhs to 3 lakhs,Bengali,Government Employee,Hindu,real
Scheduled Caste,B.Com (Commerce),Others,INR 2 lakhs to 3 lakhs,Bengali,Management/Corporate Professionals,Hindu,real
Banik,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Bengali,Marketing and Communications,Hindu,real
Kayastha,B.Sc (Science),Private Sector,INR 2 lakhs to 3 lakhs,Bengali,Marketing and Communications,Hindu,real
Catholic,B.Com (Commerce),MNC,INR 2 lakhs to 3 lakhs,Bengali,Purchase/Logistics/Supply chain,Christian,real
Scheduled Caste,Other Diploma,State Government,INR 2 lakhs to 3 lakhs,Bengali,Construction,Hindu,real
Brahmin - Rarhi,BE B.Tech (Engineering),Central Government,INR 3 lakhs to 4 lakhs,Bengali,Banking/Insurance/Financial Services,Hindu,real
Scheduled Caste,MBA/PGDM,Public Sector,INR 3 lakhs to 4 lakhs,Bengali,Banking/Insurance/Financial Services,Hindu,real
Brahmin,B.Com (Commerce),MNC,INR 3 lakhs to 4 lakhs,Bengali,Banking/Insurance/Financial Services,Hindu,real
Kayastha,Other School/Graduation,MNC,INR 3 lakhs to 4 lakhs,Bengali,Beauty/Fashion/Jewellery Designers,Hindu,real
Banik,MBA/PGDM,Others,INR 3 lakhs to 4 lakhs,Bengali,Business Owner/Entrepreneur,Hindu,real
Kayastha,B.Com (Commerce),Others,INR 3 lakhs to 4 lakhs,Bengali,Business Owner/Entrepreneur,Hindu,real
Bengali,PG Diploma,Others,INR 3 lakhs to 4 lakhs,Bengali,Business Owner/Entrepreneur,Hindu,real
Kayastha,B.Com (Commerce),Others,INR 3 lakhs to 4 lakhs,Bengali,Business Owner/Entrepreneur,Hindu,real
Kayastha,BBA/BBM/BBS,MNC,INR 3 lakhs to 4 lakhs,Bengali,Customer Service/Call Centre/BPO,Hindu,real
Sadgope,B.Com (Commerce),MNC,INR 3 lakhs to 4 lakhs,Bengali,Finance and Accounts,Hindu,real
Sunni,MBBS,State Government,INR 3 lakhs to 4 lakhs,Bengali,Health Care,Muslim,real
Bengali,Other Diploma,Private Sector,INR 3 lakhs to 4 lakhs,Bengali,IT,Hindu,real
Brahmin,12th,Private Sector,INR 3 lakhs to 4 lakhs,Bengali,IT,Hindu,real
Namasudra,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Bengali,Management/Corporate Professionals,Hindu,real
Brahmin - Kulin,Other Diploma,Public Sector,INR 3 lakhs to 4 lakhs,Bengali,Sales/Business Development,Hindu,real
Brahmin,MCA/PGDCA,MNC,INR 30 lakhs to 40 lakhs,Bengali,IT,Hindu,real
Kayastha,BE B.Tech (Engineering),Private Sector,INR 30 lakhs to 40 lakhs,Bengali,IT,Hindu,real
Kayastha,12th,Others,INR 4 lakhs to 5 lakhs,Bengali,Business Owner/Entrepreneur,Hindu,real
Bengali,Masters,State Government,INR 4 lakhs to 5 lakhs,Bengali,Civil Services/Law Enforcement,Hindu,real
Brahmin - Bengali,BL/LLB/BGL (Law),Central Government,INR 4 lakhs to 5 lakhs,Bengali,Defence,Hindu,real
Kayastha,12th,Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Education/Training,Hindu,real
Brahmin,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Education/Training,Hindu,real
Brahmin - Rudraj,M.Com. (Commerce),State Government,INR 4 lakhs to 5 lakhs,Bengali,Education/Training,Hindu,real
Sunni,B.Sc (Science),Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Export/Import,Muslim,real
Brahmin,B.Com (Commerce),Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Finance and Accounts,Hindu,real
Brahmin,B.Com (Commerce),MNC,INR 4 lakhs to 5 lakhs,Bengali,Finance and Accounts,Hindu,real
Brahmin,BE B.Tech (Engineering),Private Sector,INR 4 lakhs to 5 lakhs,Bengali,IT,Hindu,real
Tili,Engineering,Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Kayastha,PG Diploma,MNC,INR 4 lakhs to 5 lakhs,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Kayastha,Engineering,Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Manufacturing/Engineering/R&D,Hindu,real
Bengali,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 4 lakhs to 5 lakhs,Bengali,Manufacturing/Engineering/R&D,Hindu,real
