caste1,degree,employed1,income1,mother1,occupation,religion1,account
Vaishya Vani,B.Sc (Science),Private Sector,INR 20 lakhs to 25 lakhs,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Mapila,B.Arch (Architecture),Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Science,Muslim,fake
Chettiar,Other Doctorate,Central Government,INR Under 50 thousand,Urdu,IT,Muslim,fake
Brahmin - Bhumihar,B.Arch (Architecture),Private Sector,INR 25 lakhs to 30 lakhs,Urdu,Education/Training,Muslim,fake
Gujjar,MCA/PGDCA,Central Government,INR 25 lakhs to 30 lakhs,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Brahmin 6000 Niyogi,MD/MS (Medicine),Public Sector,INR 50 thousand to 1 lakh,Urdu,Civil Services/Law Enforcement,Muslim,fake
96K Kokanastha,MBBS,State Government,INR 25 lakhs to 30 lakhs,Urdu,Government Employee,Muslim,fake
Vanniyar,BE B.Tech (Engineering),Private Sector,Don't wish to specify,Urdu,Legal,Muslim,fake
Arora,CA (Chartered Accountant),State Government,INR 25 lakhs to 30 lakhs,Urdu,Marketing and Communications,Muslim,fake
Kunbi,Integrated PG,State Government,INR 30 lakhs to 40 lakhs,Urdu,Pharmaceutical/Biotechnology,Muslim,fake
Brahmin - Shivhalli,MBA/PGDM,State Government,INR 3 lakhs to 4 lakhs,Urdu,Hotels/Restaurants,Muslim,fake
Gujjar,B.Arch (Architecture),Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Purchase/Logistics/Supply chain,Muslim,fake
Kashyap,BHMS (Homeopathy),Private Sector,INR 20 lakhs to 25 lakhs,Urdu,Banking/Insurance/Financial Services,Muslim,fake
Sikh - Kamboj,Other Doctorate,Public Sector,INR 25 lakhs to 30 lakhs,Urdu,Export/Import,Muslim,fake
Rajastani,BBA/BBM/BBS,Central Government,INR 30 lakhs to 40 lakhs,Urdu,Admin/Secretarial,Muslim,fake
Naik,B.El.Ed (Elementary Education),Private Sector,INR 3 lakhs to 4 lakhs,Urdu,Agriculture,Muslim,fake
Thakur,Other School/Graduation,State Government,INR 50 thousand to 1 lakh,Urdu,Advertising/Entertainment/Media ,Muslim,fake
Goud,M.Pharm. (Pharmacy),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Telecom/ISP,Muslim,fake
Lingayath,ME/M.Tech/MS (Engg/Sciences),State Government,INR 30 lakhs to 40 lakhs,Urdu,Pharmaceutical/Biotechnology,Muslim,fake
Lohar,MDS (Master of Dental Surgery),Central Government,INR 25 lakhs to 30 lakhs,Urdu,Science,Muslim,fake
Vysya,CFA (Chartered Financial Analyst),Public Sector,INR 30 lakhs to 40 lakhs,Urdu,Marketing and Communications,Muslim,fake
Scheduled Tribe,CA (Chartered Accountant),Central Government,INR 30 lakhs to 40 lakhs,Urdu,Finance and Accounts,Muslim,fake
Kumbhakar,CA (Chartered Accountant),State Government,INR 25 lakhs to 30 lakhs,Urdu,Government Employee,Muslim,fake
Leva Patidar,B.Com (Commerce),Central Government,INR 30 lakhs to 40 lakhs,Urdu,Admin/Secretarial,Muslim,fake
Kushwaha (Koiri),B.Ed (Education),State Government,INR 30 lakhs to 40 lakhs,Urdu,Government Employee,Muslim,fake
Rohiri Sindhi,B.Ed (Education),Central Government,INR 50 lakhs and above,Urdu,Business Owner/Entrepreneur,Muslim,fake
Jangam,B.Com (Commerce),Public Sector,INR 20 lakhs to 25 lakhs,Urdu,Agriculture,Muslim,fake
Kahar,MBBS,Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Travel/Airlines,Muslim,fake
Vaish,M.Arch. (Architecture),Private Sector,INR 40 lakhs to 50 lakhs,Urdu,Beauty/Fashion/Jewellery Designers,Muslim,fake
