caste1,degree,employed1,income1,mother1,occupation,religion1,account
Brahmin,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Oriya,Marketing and Communications,Hindu,real
Bhovi,M.Sc. (Science),Private Sector,INR 2 lakhs to 3 lakhs,Kannada,Education/Training,Hindu,real
Catholic,BBA/BBM/BBS,Private Sector,INR 2 lakhs to 3 lakhs,English,Customer Service/Call Centre/BPO,Christian,real
Punjabi,B.Com (Commerce),Private Sector,INR 1 lakh to 2 lakhs,Punjabi,IT,Hindu,real
Kshatriya,B.A. (Arts),Central Government,INR 4 lakhs to 5 lakhs,Marathi,Government Employee,Hindu,real
Swakula Sali,B.A. (Arts),Private Sector,INR 1 lakh to 2 lakhs,Marathi,Admin/Secretarial,Hindu,real
Digambar,MBA/PGDM,MNC,INR 4 lakhs to 5 lakhs,Marwari,Banking/Insurance/Financial Services,Jain,real
Lingayath,B.Arch (Architecture),Private Sector,INR 10 lakhs  to 15 lakhs,Kannada,Artists/Animators/Web Designers,Hindu,real
Mudiraj,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Telugu,Admin/Secretarial,Hindu,real
Khandayat,PG Diploma,Central Government,INR 3 lakhs to 4 lakhs,Oriya,Government Employee,Hindu,real
Brahmin,MD/MS (Medicine),Private Sector,Don't wish to specify,Punjabi,Health Care,Hindu,real
Shewetamber,12th,Private Sector,INR 2 lakhs to 3 lakhs,Marwari,Sales/Business Development,Jain,real
Jat,Engineering,Private Sector,INR 7 lakhs to 10 lakhs,Hindi,Manufacturing/Engineering,Hindu,real
Chambhar,B.Arch (Architecture),Central Government,INR 50 thousand to 1 lakh,Marathi,Construction,Hindu,real
Scheduled Caste,MBA/PGDM,Private Sector,INR 7 lakhs to 10 lakhs,Hindi,IT,Hindu,real
Khatri,MA (Arts),Private Sector,Don't wish to specify,Hindi,Banking/Insurance/Financial Services,Hindu,real
Karana,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Oriya,Banking/Insurance/Financial Services,Hindu,real
Arya Vysya,BE B.Tech (Engineering),Private Sector,INR 7 lakhs to 10 lakhs,Telugu,Manufacturing/Engineering/R&D,Hindu,real
Rajput,MBA/PGDM,Public Sector,INR 10 lakhs  to 15 lakhs,Rajasthani,Banking/Insurance/Financial Services,Hindu,real
Rajaka,MBA/PGDM,MNC,INR 7 lakhs to 10 lakhs,Telugu,IT,Hindu,real
